date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
101moon_YT;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187406;9187444;9187444;9187444;9187444;9187444;9187444;9187444;9187444;9187444;9187444;9187444;9187444;
10247;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;1528740;
10flame12;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475472;1475480;1475480;1475480;1475480;1475480;1475480;1475480;1475480;1475480;1475480;1475480;1475480;1475480;
111robloxdude;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;15058;
114EXP;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501879;1501881;1501881;1501881;1501881;1501881;1501881;1501881;1501881;1501881;1501881;1501881;1501881;
115z3;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;111098;
11oyd;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;117020;
11percentgay;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;100040;NoFoundByTheAPI;100040;100040;100040;100040;
1203Chris;1598837;1598837;1598837;1598837;1638561;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638565;1638567;1638567;1638567;1638567;1638567;1638567;1638567;1638567;1638567;1638567;1700693;
1234abc2;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;57608;
