date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
11percentgay;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;184;NoFoundByTheAPI;184;184;184;184;
1203Chris;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;262;
1234abc2;1249049;1249049;1249049;1249049;1249049;1249049;1249049;1249049;1249049;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1313490;1381152;
123abcooooooooo;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;280154;
123ian;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;27964;
123revive;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;122;
123_WILL;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;526;
125man29;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;273535;
12cats;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;385006;
12derka;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;71728;
12mike34;1117160;1117160;1117160;1117160;1117160;1117160;1117160;1117160;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;1117164;
12Patata21;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;27595;
12steeler;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;109374;
1314jayden;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;24209;
132465798;512601;512601;512601;512601;518088;520840;520840;525800;525800;525800;532683;532683;532683;536203;536203;536203;536203;542923;545003;547403;547403;551723;551723;558443;560843;562123;563403;565483;566923;568747;
138hz;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;
13lackRaven;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;52289;
13Tes;570200;570200;655843;655843;655843;655843;655843;678243;678243;678243;678243;694563;694565;694565;708325;712607;712607;721567;723807;723807;735647;737567;737567;749887;751711;756831;761375;761375;771775;775135;
146hz;1122;1122;1122;1122;1122;1122;1122;1122;1122;1122;1122;0;1122;1122;1122;1122;1122;1122;1122;0;1122;1122;1122;1122;1122;1134;0;0;1134;1134;
159732;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;1794059;
15h;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;136840;0;0;0;136840;136840;136840;136840;136840;136840;136840;
15HFN;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;18764;
15hh;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;1005;
15Tank;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;51501;
15_Forcestream_;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214102;214114;214114;214114;214114;214114;214114;214114;
1640s;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;1091;
16thGarden;77293;77293;77293;77293;77293;77293;77293;77293;77293;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;77323;
1702Levi;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;122221;
173IQ;1252;1284;1284;1284;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;1287;
17aq;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;11702;
180hz;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;12461;
1875ryan;425;425;425;425;425;425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428;0;0;0;0;0;0;0;0;
187ner;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;50066;
18O4;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;856621;
194858291919;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;35;
199g;48383;48383;48383;48383;60063;60063;60063;60063;60063;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;60289;
19ch;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;57;64;94;108;
19l;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;72817;
19victor98;505024;505024;505024;505024;505024;505024;505024;505024;505024;505024;505024;505024;505024;505024;505024;505052;505052;505052;505056;505056;505056;505056;505056;505056;505056;505056;505056;505056;505059;505059;
1a2b3g4e;6906;6908;6908;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;6910;
1awesomeben1;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;603;
1bis;50319;50319;50319;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;50322;
1Blade_player;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;183830;
1Bos;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;312851;
1C6;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;2819;
1ceshad0w;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;92691;
1cey_;90;90;90;90;90;90;90;90;90;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1Domi;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17397;17400;17400;17400;17400;17400;17400;
1dozer1;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;78156;
1epauletteshark;589876;589876;589876;589876;652948;652948;652948;652948;652948;652948;652948;652948;652948;652948;652948;652948;652948;652948;683256;683256;683256;683256;683256;683256;683256;683256;683256;683256;683256;683256;
1fishy;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;178196;
1forall;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;55120;
1hcsisdaddy;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192606;192608;192608;192608;192608;
1ife1ess;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;1302;
1kOrigami;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;681218;809331;809331;809331;809331;809331;
1Leqends;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;283518;
1Les;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;15333;
