date;23/02/2022;24/02/2022;25/02/2022;26/02/2022;27/02/2022;28/02/2022;01/03/2022;02/03/2022;03/03/2022;04/03/2022;05/03/2022;06/03/2022;07/03/2022;08/03/2022;09/03/2022;10/03/2022;11/03/2022;12/03/2022;13/03/2022;14/03/2022;15/03/2022;16/03/2022;17/03/2022;18/03/2022;19/03/2022;20/03/2022;21/03/2022;22/03/2022;23/03/2022;24/03/2022;
111robloxdude;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;39244;
114EXP;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;1508545;
115z3;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;898631;
11oyd;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;818814;
11percentgay;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;81;NoFoundByTheAPI;81;81;81;81;
1203Chris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
1234abc2;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;394238;
123abcooooooooo;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;326080;
123ian;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;
123revive;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;504;
